"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"1","dcqla1bx49","MOOSPMPSParser",1671386281,2.99,2.99,4.47,5.27,0.51,4.85,4.95,5.82,0.61,4.99,534.72,153.19,315.21,27.44,35.44,2.34,35.65,35.68,65523.63,459.28,35.69,0.58,-1.5,43.4,12.538,43,"e00fce6856818e5885f65487",2022-12-18 17:58:03,2022-12-18 17:58:03,2022-12-18 17:58:03,2022-12-18
"2","WMIbfeRuNg","MOOSPMPSParser",1671386881,3.14,3.14,3.2,4.68,0.36,3.42,3.45,5.07,0.39,3.46,534.7,149.72,555.28,24.66,25.42,1.42,25.52,25.53,10989.36,408.45,25.53,0.52,0.3,37.3,19.025,43,"e00fce6856818e5885f65487",2022-12-18 18:08:03,2022-12-18 18:08:03,2022-12-18 18:08:03,2022-12-18
"3","YIe57u8YcE","MOOSPMPSParser",1671387481,3.07,3.07,3.4,4.8,0.58,3.62,3.64,5.21,0.58,3.65,517.86,146.44,769.09,25.29,27.06,1.69,27.15,27.16,13.87,365,27.17,0.52,1.6,34.8,20.061,43,"e00fce6856818e5885f65487",2022-12-18 18:18:03,2022-12-18 18:18:03,2022-12-18 18:18:03,2022-12-18
"4","FMdbqhTggo","MOOSPMPSParser",1671388081,3.64,3.64,3.08,5.69,0.65,3.32,3.38,6.14,0.68,3.4,603.77,167.57,991.74,28.4,24.43,1.76,24.56,24.58,22.5,344.05,24.58,0.55,2.2,34.1,18.269,43,"e00fce6856818e5885f65487",2022-12-18 18:28:03,2022-12-18 18:28:03,2022-12-18 18:28:03,2022-12-18
"5","B441k4RFFb","MOOSPMPSParser",1671388681,3.59,3.59,3.23,5.93,0.71,3.49,3.55,6.39,0.78,3.58,612.19,170.96,1205.97,29.52,25.64,2.14,25.78,25.8,28.18,323.89,25.8,0.55,3.2,32,15.689,43,"e00fce6856818e5885f65487",2022-12-18 18:38:03,2022-12-18 18:38:03,2022-12-18 18:38:03,2022-12-18
"6","yCSMs4EY8H","MOOSPMPSParser",1671389281,3.81,3.81,3.21,5.8,0.58,3.43,3.46,6.1,0.58,3.48,656.55,184.18,1432.32,30.62,25.48,1.45,25.58,25.6,33.76,307.14,25.6,0.55,3.8,30.5,17.691,43,"e00fce6856818e5885f65487",2022-12-18 18:48:03,2022-12-18 18:48:03,2022-12-18 18:48:03,2022-12-18
"7","72xBHx3oOE","MOOSPMPSParser",1671389881,3.47,3.47,3.06,5.44,0.5,3.26,3.28,5.65,0.55,3.29,630.3,176.38,1648.28,28.28,24.32,1.46,24.4,24.41,38.55,289.72,24.42,0.53,4.2,29.2,19.773,43,"e00fce6856818e5885f65487",2022-12-18 18:58:03,2022-12-18 18:58:03,2022-12-18 18:58:03,2022-12-18
"8","knPbJCPgkH","MOOSPMPSParser",1671390481,3.68,3.68,2.92,5.69,0.53,3.12,3.15,6.25,0.7,3.16,659.24,185.8,1867.08,29.49,23.22,1.99,23.32,23.33,43.82,276.77,23.33,0.52,5.4,27.6,19.777,43,"e00fce6856818e5885f65487",2022-12-18 19:08:03,2022-12-18 19:08:03,2022-12-18 19:08:03,2022-12-18
"9","cOadi5wtj5","MOOSPMPSParser",1671391081,5.2,5.2,5.22,8.55,1.15,5.72,5.88,8.91,1.18,5.96,866.79,244.13,2145.43,44.1,41.31,2.8,41.61,41.66,49.12,264.63,41.67,0.59,5.7,26,17.442,43,"e00fce6856818e5885f65487",2022-12-18 19:18:03,2022-12-18 19:18:03,2022-12-18 19:18:03,2022-12-18
"10","27qTnL3St7","MOOSPMPSParser",1671397500,4.26,4.26,2.77,6.12,0.68,2.96,2.98,6.31,0.68,2.99,747.27,205.98,195.38,29.82,21.98,1.53,22.07,22.08,59.01,221.68,22.09,0.54,6.3,23.7,15.426,43,"e00fce6856818e5885f65487",2022-12-18 21:05:02,2022-12-18 21:05:02,2022-12-18 21:05:02,2022-12-18
"11","6FwueZAEDK","MOOSPMPSParser",1671398100,3.2,3.2,1.53,4.7,0.2,1.63,1.63,4.79,0.2,1.63,636.07,177.83,344.33,24.34,12.18,1.34,12.22,12.23,66.6,207.43,12.23,0.49,7.2,22.1,20.922,43,"e00fce6856818e5885f65487",2022-12-18 21:15:02,2022-12-18 21:15:02,2022-12-18 21:15:02,2022-12-18
"12","UyLw5ldrMG","MOOSPMPSParser",1671398700,1.23,1.23,1.36,2.07,0.24,1.46,1.47,2.15,0.24,1.48,391,108.83,436.28,14.32,10.8,0.75,10.85,10.85,68.94,197.98,10.86,0.54,7.5,21.9,25.528,43,"e00fce6856818e5885f65487",2022-12-18 21:25:02,2022-12-18 21:25:02,2022-12-18 21:25:02,2022-12-18
"13","kdoj423laE","MOOSPMPSParser",1671399300,1.35,1.35,1.22,1.99,0.14,1.31,1.32,2.12,0.17,1.33,386.91,108.88,531.01,14.25,9.7,0.99,9.74,9.75,70,194.12,9.75,0.54,7.6,20.7,24.619,43,"e00fce6856818e5885f65487",2022-12-18 21:35:02,2022-12-18 21:35:02,2022-12-18 21:35:02,2022-12-18
"14","hp9jR0LyM1","MOOSPMPSParser",1671399900,1.06,1.06,1.14,1.75,0.15,1.23,1.25,1.85,0.15,1.25,337.48,94.93,612.81,12.62,9.08,1.1,9.13,9.13,69.54,188.23,9.13,0.54,7.6,20.7,28.663,43,"e00fce6856818e5885f65487",2022-12-18 21:45:02,2022-12-18 21:45:02,2022-12-18 21:45:02,2022-12-18
"15","4EHAKYmXgj","MOOSPMPSParser",1671400500,1.35,1.35,1.74,2.21,0.34,1.87,1.89,2.27,0.34,1.9,398.92,112.25,712.87,16.55,13.83,0.78,13.89,13.9,68.81,186.96,13.9,0.53,7.4,20.8,28.259,43,"e00fce6856818e5885f65487",2022-12-18 21:55:02,2022-12-18 21:55:02,2022-12-18 21:55:02,2022-12-18
