"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"1","HlddClGzVt","MOOSPMPSParser",1685404801,1.67,1.67,2.43,2.84,2.84,2.85,3.09,3.51,3.51,3.21,692.28,183.65,6151.69,26.38,19.02,2.42,19.35,19.4,0.9,0.39,19.41,0.57,29.4,34.3,45.28,42,"e00fce68f8f5a1da595c7249",2023-05-30 00:00:02,2023-05-30 00:00:02,2023-05-30 00:00:02,2023-05-30
"2","mWfVRuHw6V","MOOSPMPSParser",1685405341,2.75,2.75,2.79,3.57,3.57,3.1,3.22,4.07,4.07,3.28,676.85,197.59,1211641.25,21.45,22.06,1.27,22.26,22.29,0.52,0.25,22.29,0.53,27.8,36.6,40.473,42,"e00fce68a145996ae3d821b8",2023-05-30 00:08:59,2023-05-30 00:09:00,2023-05-30 00:09:00,2023-05-30
"3","qjH8eKWkFe","MOOSPMPSParser",1685405401,1.82,1.82,2.43,3.43,3.43,2.84,3.05,4.34,4.34,3.16,744.64,195.65,6326.85,33.56,19.05,3.36,19.36,19.41,1.18,0.66,19.41,0.55,29.6,36.6,44.36,42,"e00fce68f8f5a1da595c7249",2023-05-30 00:10:02,2023-05-30 00:10:02,2023-05-30 00:10:02,2023-05-30
"4","ZozOu9GINe","MOOSPMPSParser",1685405941,2.8,2.8,2.58,3.63,3.63,2.84,2.93,4.31,4.31,2.98,662.39,191.4,1211816.38,19.94,20.43,1.55,20.59,20.61,0.72,0.48,20.62,0.53,27.8,35.2,40.247,42,"e00fce68a145996ae3d821b8",2023-05-30 00:18:59,2023-05-30 00:19:00,2023-05-30 00:19:00,2023-05-30
"5","t6GbJVHGoa","MOOSPMPSParser",1685406001,1.87,1.87,2.5,3.46,3.46,2.96,3.22,4.73,4.73,3.34,744.17,200.38,6505.68,33.41,19.58,4.17,19.94,19.99,1.71,1.11,20,0.57,29.1,35.4,44.905,42,"e00fce68f8f5a1da595c7249",2023-05-30 00:20:02,2023-05-30 00:20:02,2023-05-30 00:20:02,2023-05-30
"6","UJ1iBPV3ur","MOOSPMPSParser",1685406541,2.82,2.82,2.81,3.76,3.76,3.11,3.24,4.39,4.39,3.3,662.78,193.16,1211992,23.46,22.17,1.81,22.37,22.4,0.56,0.47,22.41,0.53,28.1,35.1,41.123,42,"e00fce68a145996ae3d821b8",2023-05-30 00:29:00,2023-05-30 00:29:00,2023-05-30 00:29:00,2023-05-30
"7","JtBeN34Msj","MOOSPMPSParser",1685406601,1.83,1.83,2.84,3.31,3.31,3.28,3.5,4.31,4.31,3.61,731.18,195.92,6685.75,30.82,22.33,4.19,22.66,22.71,1.24,0.71,22.72,0.56,28.3,36.2,45.729,42,"e00fce68f8f5a1da595c7249",2023-05-30 00:30:02,2023-05-30 00:30:02,2023-05-30 00:30:02,2023-05-30
"8","ttNej6cy3O","MOOSPMPSParser",1685407141,2.61,2.61,2.04,3.58,3.58,2.18,2.2,4.03,4.03,2.21,650.44,190.12,1212152.75,20.93,16.19,1.47,16.26,16.26,0.38,0.21,16.27,0.51,28,32,36.382,42,"e00fce68a145996ae3d821b8",2023-05-30 00:39:00,2023-05-30 00:39:00,2023-05-30 00:39:00,2023-05-30
"9","Z5rQPfI4Lc","MOOSPMPSParser",1685407201,1.99,1.99,2.87,3.39,3.39,3.27,3.46,4.04,4.04,3.56,751.07,199.41,6869.41,31.12,22.57,2.85,22.86,22.9,0.85,0.4,22.91,0.53,27.9,37,46.983,42,"e00fce68f8f5a1da595c7249",2023-05-30 00:40:02,2023-05-30 00:40:02,2023-05-30 00:40:02,2023-05-30
"10","kca5UUKxj3","MOOSPMPSParser",1685407741,2.18,2.18,2.04,3.03,3.03,2.61,2.98,3.86,3.86,3.16,565.96,160.59,1212314.5,19.41,15.76,1.83,16.25,16.32,0.81,0.56,16.32,0.61,27.1,33.1,22.901,42,"e00fce68a145996ae3d821b8",2023-05-30 00:48:59,2023-05-30 00:49:00,2023-05-30 00:49:00,2023-05-30
