"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"1","cVnZn3eZ9P","MOOSPMPSParser",1657411501,0.91,0.91,1.1,1.42,0.2,1.17,1.17,1.62,0.2,1.17,510.21,143.62,1291.44,11.45,8.79,0.97,8.81,8.81,0.26,0.18,8.82,0.41,39.4,13.5,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 00:05:02,2022-07-10 00:05:03,2022-07-10 00:05:03,2022-07-10
"2","PUFhayMzcf","MOOSPMPSParser",1657412101,0.82,0.82,0.83,1.43,0.15,0.87,0.87,1.65,0.18,0.87,505.98,142.42,1363.15,10.78,6.59,1.27,6.6,6.61,0.25,0.17,6.61,0.41,39.8,12.1,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 00:15:02,2022-07-10 00:15:03,2022-07-10 00:15:03,2022-07-10
"3","HAheBT7vfR","MOOSPMPSParser",1657412701,1.03,1.03,1.06,1.56,0.11,1.12,1.12,1.7,0.18,1.12,528.63,146.76,1434.07,10.52,8.47,0.89,8.49,8.49,0.17,0.17,8.49,0.42,40.3,11.9,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 00:25:02,2022-07-10 00:25:03,2022-07-10 00:25:03,2022-07-10
"4","mgP1PxpHuq","MOOSPMPSParser",1657413301,1.13,1.13,0.99,1.67,0.15,1.04,1.04,1.72,0.16,1.04,545.85,154.68,1512.7,12.34,7.86,0.81,7.88,7.88,0,0,7.88,0.42,40.3,12.4,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 00:35:02,2022-07-10 00:35:03,2022-07-10 00:35:03,2022-07-10
"5","0jbQjhrqLE","MOOSPMPSParser",1657413901,1.49,1.49,3.93,2.51,0.79,4.16,4.16,2.53,0.79,4.16,628.73,175.26,1620.58,16.41,31.3,1.34,31.38,31.39,0,0,31.4,0.43,40.4,12.2,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 00:45:02,2022-07-10 00:45:03,2022-07-10 00:45:03,2022-07-10
"6","6KdrXfPws1","MOOSPMPSParser",1657414501,2.56,2.56,1.62,3.76,0.32,1.71,1.71,3.93,0.34,1.71,816.39,231.64,1758.41,21.47,12.89,1,12.92,12.93,0.16,0.07,12.93,0.4,39.7,12.3,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 00:55:02,2022-07-10 00:55:03,2022-07-10 00:55:03,2022-07-10
"7","76mZlabwfw","MOOSPMPSParser",1657415101,2.05,2.05,2.01,3.38,0.3,2.12,2.12,3.75,0.33,2.12,739.78,208.16,1881.9,21.5,15.97,2.04,16.01,16.01,0.5,0.24,16.01,0.41,39.7,12.2,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 01:05:02,2022-07-10 01:05:03,2022-07-10 01:05:03,2022-07-10
"8","aOzzTOCtcD","MOOSPMPSParser",1657415701,2.23,2.23,1.35,3.24,0.21,1.42,1.42,3.47,0.21,1.42,746.08,210.05,2004.62,19.84,10.72,1.36,10.74,10.75,0.27,0.27,10.75,0.41,38.7,12.9,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 01:15:02,2022-07-10 01:15:03,2022-07-10 01:15:03,2022-07-10
"9","p8yiEpqPRJ","MOOSPMPSParser",1657416301,1.23,1.23,1.05,2.02,0.18,1.12,1.12,2.06,0.18,1.12,566,160.03,2093.8,13.82,8.39,0.8,8.42,8.42,0.08,0,8.42,0.4,37,13.8,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 01:25:02,2022-07-10 01:25:03,2022-07-10 01:25:03,2022-07-10
"10","bygwk0kLhX","MOOSPMPSParser",1657416901,1.31,1.31,1.4,2.01,0.29,1.48,1.48,2.12,0.29,1.48,524.48,150.19,2182.4,12.1,11.17,0.98,11.2,11.21,0.08,0,11.21,0.43,35.6,18,-125,43,"e00fce68a145996ae3d821b8",2022-07-10 01:35:02,2022-07-10 01:35:03,2022-07-10 01:35:03,2022-07-10
